,date,pas,total
251,1849-05-16,136,20413
252,1849-05-17,66,18800
253,1849-05-18,70,17235
254,1849-05-19,84,17494
255,1849-05-20,190,39503
256,1849-05-21,87,18413
257,1849-05-22,121,18208
258,1849-05-23,118,18912
259,1849-05-24,122,18500
260,1849-05-25,115,20266
261,1849-05-26,118,19428
262,1849-05-27,103,18922
263,1849-05-28,110,20241
264,1849-05-30,99,18835
265,1849-05-31,130,19757
266,1849-06-01,94,18542
267,1849-06-02,63,18912
268,1849-06-03,88,18770
269,1849-06-04,77,17815
270,1849-06-05,104,19067
271,1849-06-06,95,19516
272,1849-06-07,103,19271
273,1849-06-08,82,19936
274,1849-06-09,88,19316
275,1849-06-10,94,20755
276,1849-06-11,73,17803
277,1849-06-12,101,20111
278,1849-06-13,87,21030
279,1849-06-14,110,20733
280,1849-06-15,88,19263
281,1849-06-16,73,18637
282,1849-06-17,80,18858
283,1849-06-18,62,18374
284,1849-06-19,87,20259
285,1849-06-20,112,19895
286,1849-06-21,111,19535
287,1849-06-22,83,19519
288,1849-06-23,57,18935
289,1849-06-24,89,19164
290,1849-06-25,101,18401
291,1849-06-26,81,18549
292,1849-06-27,137,19703
293,1849-06-28,98,18921
294,1849-06-29,86,18420
295,1849-06-30,107,20310
296,1849-07-01,114,19069
297,1849-07-02,90,19084
298,1849-07-03,112,17636
299,1849-07-04,91,18841
300,1849-07-05,132,19689
301,1849-07-06,106,19305
302,1849-07-07,118,19273
303,1849-07-08,150,19420
304,1849-07-09,106,19629
305,1849-07-10,82,19671
306,1849-07-11,151,19347
307,1849-07-12,90,17766
308,1849-07-13,117,19098
309,1849-07-14,93,19521
310,1849-07-15,83,19535
311,1849-07-16,124,18966
312,1849-07-17,105,19865
313,1849-07-18,120,19830
314,1849-07-19,110,19751
315,1849-07-20,82,20598
316,1849-07-21,67,17758
317,1849-07-22,123,21035
318,1849-07-23,108,19843
319,1849-07-24,129,19004
320,1849-07-25,165,20622
321,1849-07-26,127,19992
322,1849-07-27,125,19368
323,1849-07-28,127,19712
324,1849-07-29,109,19811
325,1849-07-30,124,19637
326,1849-07-31,105,20261
327,1849-08-01,99,18582
328,1849-08-02,88,19245
329,1849-08-03,113,19825
330,1849-08-04,99,18779
331,1849-08-05,92,19089
332,1849-08-06,91,18046
333,1849-08-07,87,18334
334,1849-08-08,121,18449
335,1849-08-09,95,19236
336,1849-08-10,104,18902
337,1849-08-11,106,19801
338,1849-08-12,123,19487
339,1849-08-13,119,19557
340,1849-08-14,122,18982
341,1849-08-15,100,16837
342,1849-08-16,82,18754
343,1849-08-18,86,17553
344,1849-08-19,119,17025
345,1849-08-20,102,19610
346,1849-08-21,76,18650
347,1849-08-22,80,18392
348,1849-08-23,92,19468
349,1849-08-24,100,19169
350,1849-08-25,84,18507
351,1849-08-26,140,19708
352,1849-08-27,88,17135
353,1849-08-28,114,18939
354,1849-08-29,88,18967
355,1849-08-30,69,18260
356,1849-08-31,85,18224
357,1849-09-01,111,16777
358,1849-09-02,79,19162
359,1849-09-03,75,19329
360,1849-09-04,101,18239
361,1849-09-05,84,19038
362,1849-09-06,89,18257
363,1849-09-07,77,19571
364,1849-09-08,102,18658
365,1849-09-09,113,20400
366,1849-09-10,92,18067
367,1849-09-11,64,16346
368,1849-09-12,77,18300
369,1849-09-13,79,18216
370,1849-09-14,90,19175
371,1849-09-15,73,17876
372,1849-09-16,101,17892
373,1849-09-17,69,18099
374,1849-09-18,86,19273
375,1849-09-19,103,19100
376,1849-09-20,65,18394
377,1849-09-21,83,18885
378,1849-09-22,97,17708
379,1849-09-23,88,19123
380,1849-09-24,87,18658
381,1849-09-25,87,18817
382,1849-09-26,94,18957
383,1849-09-27,97,16952
384,1849-09-28,74,19525
385,1849-09-29,69,18952
386,1849-09-30,66,18371
387,1849-10-01,69,17813
388,1849-10-02,66,19057
389,1849-10-03,49,17600
390,1849-10-04,82,17991
391,1849-10-05,111,18959
392,1849-10-06,98,19143
393,1849-10-07,83,17479
394,1849-10-08,94,18178
395,1849-10-09,135,20198
396,1849-10-10,130,19213
397,1849-10-11,90,18256
398,1849-10-12,159,20861
399,1849-10-13,125,18998
400,1849-10-14,78,16684
401,1849-10-15,76,17743
402,1849-10-16,120,20425
403,1849-10-17,138,19437
404,1849-10-18,142,19814
405,1849-10-19,154,19469
406,1849-10-20,157,19024
407,1849-10-21,158,21154
408,1849-10-22,111,20516
409,1849-10-23,111,18462
410,1849-10-24,147,20076
411,1849-10-25,156,19264
412,1849-10-26,128,20283
413,1849-10-27,76,18162
414,1849-10-28,105,19593
415,1849-10-29,123,20408
416,1849-10-30,135,21637
417,1849-10-31,152,20623
418,1849-11-01,102,19415
419,1849-11-02,81,19379
420,1849-11-04,123,20652
421,1849-11-05,91,19341
422,1849-11-06,90,14775
423,1849-11-07,126,20117
424,1849-11-08,113,18528
425,1849-11-09,94,19260
426,1849-11-10,104,18054
427,1849-11-11,130,19124
428,1849-11-12,94,19724
429,1849-11-13,117,20289
430,1849-11-14,95,18933
431,1849-11-15,106,18364
432,1849-11-16,81,19258
433,1849-11-17,93,18132
434,1849-11-18,102,19040
435,1849-11-19,88,18925
436,1849-11-20,81,19253
437,1849-11-21,83,18730
438,1849-11-22,89,20514
439,1849-11-23,113,19805
440,1849-11-24,80,19679
441,1849-11-25,90,16271
442,1849-11-26,100,21430
443,1849-11-27,103,19510
444,1849-11-28,62,19906
445,1849-11-29,102,19339
446,1849-11-30,108,20142
447,1849-12-01,88,20211
448,1849-12-02,84,18980
449,1849-12-03,81,18496
450,1849-12-04,92,19488
451,1849-12-05,79,19164
452,1849-12-06,99,19676
453,1849-12-07,107,21424
454,1849-12-08,119,21118
455,1849-12-09,109,19474
456,1849-12-10,81,20198
457,1849-12-11,101,16679
458,1849-12-12,93,19335
459,1849-12-13,115,18948
460,1849-12-14,93,20650
461,1849-12-15,123,19144
462,1849-12-16,111,18863
463,1849-12-17,70,16377
464,1849-12-18,95,21348
465,1849-12-19,94,18177
466,1849-12-20,127,17674
467,1849-12-21,99,19619
468,1849-12-22,117,19422
469,1849-12-23,87,18658
470,1849-12-24,94,20130
471,1849-12-25,137,19647
472,1849-12-26,124,19485
473,1849-12-28,112,19490
474,1849-12-29,113,19213
475,1849-12-30,105,19537
476,1849-12-31,72,20753
477,1850-01-01,91,19119
478,1850-01-02,101,19781
479,1850-01-04,89,18634
480,1850-01-05,107,18387
481,1850-01-06,119,20318
482,1850-01-07,83,19280
483,1850-01-08,104,19280
484,1850-01-09,114,18540
485,1850-01-10,87,18038
486,1850-01-11,104,18326
487,1850-01-12,107,19488
488,1850-01-13,104,18803
489,1850-01-14,80,18438
490,1850-01-15,122,19790
491,1850-01-16,127,19947
492,1850-01-17,125,18854
493,1850-01-18,112,19924
494,1850-01-19,166,20553
495,1850-01-20,103,18380
496,1850-01-21,75,19804
497,1850-01-22,109,18834
498,1850-01-23,178,19045
499,1850-01-24,114,20231
500,1850-01-25,121,19967
501,1850-01-26,102,18783
502,1850-01-27,109,18460
503,1850-01-28,95,20008
504,1850-01-29,117,19388
505,1850-01-30,116,18767
506,1850-01-31,110,20482
507,1850-02-01,110,18955
508,1850-02-02,127,18853
509,1850-02-03,108,19348
510,1850-02-04,100,20819
511,1850-02-05,128,18795
512,1850-02-06,136,20424
513,1850-02-07,106,19355
514,1850-02-08,122,19680
515,1850-02-09,84,19968
516,1850-02-10,110,18231
517,1850-02-11,100,20344
518,1850-02-12,135,18771
519,1850-02-13,144,19285
520,1850-02-14,119,19411
521,1850-02-15,84,18862
522,1850-02-16,120,20361
523,1850-02-17,119,20821
524,1850-02-18,122,20578
525,1850-02-19,97,18285
526,1850-02-20,93,18924
527,1850-02-21,89,19808
528,1850-02-22,124,18756
529,1850-02-23,91,19093
530,1850-02-24,120,18504
531,1850-02-25,103,19476
532,1850-02-26,99,19246
533,1850-02-27,102,18874
534,1850-02-28,88,18914
535,1850-03-01,90,19942
536,1850-03-02,91,18989
537,1850-03-03,118,19775
538,1850-03-04,96,19164
539,1850-03-05,76,18441
540,1850-03-06,121,19245
541,1850-03-07,108,19348
542,1850-03-08,90,18151
543,1850-03-09,116,18489
544,1850-03-10,140,18959
545,1850-03-11,97,18471
546,1850-03-12,113,19835
547,1850-03-13,98,17446
548,1850-03-14,81,17310
549,1850-03-15,89,17267
550,1850-03-16,99,19592
551,1850-03-17,122,18945
552,1850-03-18,106,19389
553,1850-03-19,112,20483
554,1850-03-20,107,18597
555,1850-03-21,106,19645
556,1850-03-22,99,19704
557,1850-03-23,92,18789
558,1850-03-24,115,19231
559,1850-03-25,103,21042
560,1850-03-26,125,19941
561,1850-03-27,115,18213
562,1850-03-28,117,18874
563,1850-03-29,103,18426
564,1850-03-30,107,19495
565,1850-03-31,124,18775
566,1850-04-01,81,19500
567,1850-04-03,115,18035
568,1850-04-04,123,20360
569,1850-04-05,122,18240
570,1850-04-06,126,18451
571,1850-04-07,118,18667
572,1850-04-08,89,19967
573,1850-04-09,123,19851
574,1850-04-10,136,20391
575,1850-04-11,163,19305
576,1850-04-12,123,18852
577,1850-04-13,88,19301
578,1850-04-14,92,17662
579,1850-04-15,99,18221
580,1850-04-16,97,19184
581,1850-04-17,130,19170
582,1850-04-18,91,19362
583,1850-04-19,81,18530
584,1850-04-20,77,21145
585,1850-04-21,94,18615
586,1850-04-22,101,19063
587,1850-04-23,108,18333
588,1850-04-24,97,19535
589,1850-04-25,101,18363
590,1850-04-26,89,17530
591,1850-04-27,93,18581
592,1850-04-28,98,17651
593,1850-04-29,74,18796
594,1850-04-30,76,15974
595,1850-05-01,104,17164
596,1850-05-02,112,18254
597,1850-05-03,117,18118
598,1850-05-04,125,17899
599,1850-05-05,75,16430
600,1850-05-06,96,18807
601,1850-05-07,88,17600
602,1850-05-08,76,16860
603,1850-05-09,84,18554
604,1850-05-10,116,17585
605,1850-05-12,97,17250
606,1850-05-13,112,19021
607,1850-05-14,106,18633
608,1850-05-15,70,18542
609,1850-05-16,116,18901
610,1850-05-17,71,18898
611,1850-05-18,87,18497
612,1850-05-19,135,20999
613,1850-05-20,109,18527
614,1850-05-22,113,19550
615,1850-05-23,106,17779
616,1850-05-24,121,19112
617,1850-05-25,154,19501
618,1850-05-26,135,19223
619,1850-05-27,77,18241
620,1850-05-28,117,19158
621,1850-05-29,110,18434
622,1850-05-30,137,18770
623,1850-05-31,105,18722
624,1850-06-01,111,18880
625,1850-06-02,88,17164
626,1850-06-03,84,20163
627,1850-06-04,93,17434
628,1850-06-05,108,18566
629,1850-06-06,77,18199
630,1850-06-07,0,0
631,1850-06-08,96,19469
632,1850-06-09,103,18935
633,1850-06-10,103,18484
634,1850-06-11,114,19680
635,1850-06-12,98,19058
636,1850-06-13,117,19344
637,1850-06-14,76,17514
638,1850-06-15,83,17759
639,1850-06-16,79,18206
640,1850-06-17,82,19640
641,1850-06-18,86,18019
642,1850-06-19,81,19547
643,1850-06-20,121,18727
644,1850-06-21,100,19070
645,1850-06-22,126,19591
646,1850-06-23,97,18748
647,1850-06-24,112,19292
648,1850-06-25,100,19145
649,1850-06-26,112,19814
650,1850-06-27,106,19018
651,1850-06-28,102,18908
652,1850-06-29,103,19089
653,1850-06-30,73,20238
654,1850-07-01,93,17588
655,1850-07-02,88,18907
656,1850-07-03,99,19308
657,1850-07-04,102,18719
658,1850-07-05,117,18506
659,1850-07-06,90,19851
660,1850-07-07,110,18987
661,1850-07-08,120,19672
662,1850-07-09,95,17959
663,1850-07-10,146,19896
664,1850-07-11,96,18574
665,1850-07-12,133,19036
666,1850-07-13,107,18039
667,1850-07-14,122,17353
668,1850-07-15,109,18182
669,1850-07-16,114,17793
670,1850-07-17,128,18374
671,1850-07-18,101,18205
672,1850-07-19,141,20196
673,1850-07-20,103,16608
674,1850-07-21,93,18168
675,1850-07-22,110,19335
676,1850-07-23,104,19519
677,1850-07-24,93,18125
678,1850-07-25,95,18742
679,1850-07-26,130,18333
680,1850-07-27,132,19962
681,1850-07-28,134,18666
682,1850-07-29,94,18546
683,1850-07-30,75,15640
684,1850-07-31,82,18221
685,1850-08-01,135,19852
686,1850-08-02,74,18008
687,1850-08-03,121,19031
688,1850-08-04,111,19068
689,1850-08-05,107,20085
690,1850-08-06,93,19596
691,1850-08-07,78,17720
692,1850-08-08,92,19525
693,1850-08-09,86,18624
694,1850-08-10,83,18523
695,1850-08-11,108,18746
696,1850-08-12,87,20338
697,1850-08-13,101,19961
698,1850-08-14,69,18075
699,1850-08-15,86,18423
700,1850-08-16,93,18574
701,1850-08-18,93,17864
702,1850-08-19,102,18197
703,1850-08-20,120,18406
704,1850-08-21,93,17989
705,1850-08-22,80,17998
706,1850-08-23,118,18235
707,1850-08-24,95,18610
708,1850-08-25,79,18912
709,1850-08-26,92,19087
710,1850-08-27,111,19125
711,1850-08-28,98,20630
712,1850-08-29,109,19653
713,1850-08-30,54,16969
714,1850-08-31,84,18199
715,1850-09-01,97,19196
716,1850-09-02,101,19322
717,1850-09-03,42,17869
718,1850-09-04,87,16837
719,1850-09-05,78,20115
720,1850-09-06,81,17404
721,1850-09-07,100,19262
722,1850-09-08,74,17275
723,1850-09-09,102,19739
724,1850-09-10,59,13236
725,1850-09-11,74,16661
726,1850-09-12,112,19192
727,1850-09-13,69,15345
728,1850-09-14,77,19014
729,1850-09-15,61,17249
730,1850-09-16,78,19173
731,1850-09-17,80,16657
732,1850-09-18,87,20200
733,1850-09-19,100,20607
734,1850-09-20,82,16881
735,1850-09-21,82,18490
736,1850-09-22,78,17442
737,1850-09-23,119,19378
738,1850-09-24,100,15953
739,1850-09-25,90,19174
740,1850-09-26,71,20768
741,1850-09-27,109,17962
742,1850-09-28,96,18841
743,1850-09-29,102,18598
744,1850-09-30,100,19545
745,1850-10-01,110,19961
746,1850-10-02,105,19215
747,1850-10-03,104,17979
748,1850-10-04,85,18871
749,1850-10-05,95,20115
750,1850-10-06,109,19182
751,1850-10-07,106,18530
752,1850-10-08,98,19353
753,1850-10-09,78,19429
754,1850-10-10,87,19914
755,1850-10-11,76,19644
756,1850-10-12,65,17984
757,1850-10-13,112,20403
758,1850-10-14,88,19486
759,1850-10-15,91,19876
760,1850-10-16,97,19577
761,1850-10-17,88,18749
762,1850-10-18,88,18835
763,1850-10-19,106,19540
764,1850-10-20,109,19442
765,1850-10-21,96,21179
766,1850-10-22,89,19693
767,1850-10-23,67,17934
768,1850-10-24,63,19114
769,1850-10-25,119,19015
770,1850-10-26,101,20223
771,1850-10-27,93,18012
772,1850-10-28,103,19419
773,1850-10-29,81,19978
774,1850-10-30,95,19891
775,1850-10-31,91,19235
776,1850-11-01,77,18573
777,1850-11-02,93,19443
778,1850-11-04,103,19770
779,1850-11-05,59,19348
780,1850-11-06,102,19845
781,1850-11-07,72,17489
782,1850-11-08,103,18908
783,1850-11-09,63,20794
784,1850-11-10,81,19060
785,1850-11-11,80,19093
786,1850-11-12,94,19607
787,1850-11-13,81,19808
788,1850-11-14,102,19127
789,1850-11-15,66,18749
790,1850-11-16,101,19614
791,1850-11-17,78,19773
792,1850-11-18,86,18172
793,1850-11-19,112,19837
794,1850-11-20,82,19305
795,1850-11-21,97,19240
796,1850-11-22,107,18800
797,1850-11-23,110,19234
798,1850-11-24,108,19771
799,1850-11-25,109,20938
800,1850-11-26,141,20260
801,1850-11-27,97,18350
802,1850-11-28,85,18657
803,1850-11-29,134,19625
804,1850-11-30,91,19445
805,1850-12-01,124,20862
806,1850-12-02,109,19894
807,1850-12-03,103,19666
808,1850-12-04,111,20879
809,1850-12-05,84,17000
810,1850-12-06,124,19142
811,1850-12-07,129,19041
812,1850-12-08,76,17988
813,1850-12-09,83,19907
814,1850-12-10,84,18405
815,1850-12-11,103,18492
816,1850-12-12,67,17804
817,1850-12-13,137,19538
818,1850-12-14,126,21104
819,1850-12-15,93,18778
820,1850-12-16,94,19340
821,1850-12-17,124,18432
822,1850-12-18,91,18883
823,1850-12-19,120,20456
824,1850-12-20,102,19106
825,1850-12-21,84,17997
826,1850-12-22,85,18127
827,1850-12-23,99,19381
828,1850-12-24,58,18281
829,1850-12-25,72,16306
830,1850-12-26,106,18780
831,1850-12-28,125,18987
832,1850-12-29,136,18377
833,1850-12-30,94,18710
834,1850-12-31,122,18553
835,1851-01-01,86,18296
836,1851-01-02,98,18747
837,1851-01-04,84,18229
838,1851-01-05,90,19131
839,1851-01-06,90,19492
840,1851-01-07,119,18873
841,1851-01-08,118,17912
842,1851-01-09,111,19071
843,1851-01-10,110,17634
844,1851-01-11,156,19008
845,1851-01-12,94,18607
846,1851-01-13,93,19681
847,1851-01-14,112,19523
848,1851-01-15,105,19232
849,1851-01-16,151,20033
850,1851-01-17,148,20449
851,1851-01-18,160,20431
852,1851-01-19,148,19399
853,1851-01-20,99,19527
854,1851-01-21,135,18668
855,1851-01-22,125,19097
856,1851-01-23,123,18304
857,1851-01-24,112,18896
858,1851-01-25,117,19340
859,1851-01-26,112,18932
860,1851-01-27,97,19443
861,1851-01-28,154,18818
862,1851-01-29,101,18253
863,1851-01-30,90,18261
864,1851-01-31,134,18994
865,1851-02-01,305,42498
866,1851-02-02,77,19445
867,1851-02-03,85,18309
868,1851-02-04,80,18116
869,1851-02-05,131,20625
870,1851-02-06,118,19232
871,1851-02-07,144,18596
872,1851-02-08,107,18527
873,1851-02-09,114,19029
874,1851-02-10,121,19904
875,1851-02-11,123,18766
876,1851-02-12,111,18067
877,1851-02-13,100,18232
878,1851-02-14,111,17634
879,1851-02-15,105,19472
880,1851-02-16,95,19084
881,1851-02-17,102,18348
882,1851-02-18,117,18522
883,1851-02-19,86,17588
884,1851-02-20,94,19095
885,1851-02-21,98,18276
886,1851-02-22,104,18614
887,1851-02-23,108,18198
888,1851-02-24,89,18853
889,1851-02-25,89,17470
890,1851-02-26,85,17852
891,1851-02-27,63,18270
892,1851-02-28,101,18880
893,1851-03-01,118,18013
894,1851-03-02,119,19780
895,1851-03-03,102,20535
896,1851-03-04,127,19115
897,1851-03-05,91,17586
898,1851-03-06,95,20061
899,1851-03-07,105,18374
900,1851-03-08,86,19210
901,1851-03-09,79,18688
902,1851-03-10,107,19098
903,1851-03-11,100,18459
904,1851-03-12,92,19230
905,1851-03-13,77,19475
906,1851-03-14,113,19180
907,1851-03-15,104,18839
908,1851-03-16,125,19426
909,1851-03-17,108,19832
910,1851-03-18,88,18146
911,1851-03-19,119,19793
912,1851-03-20,92,19111
913,1851-03-21,84,19627
914,1851-03-22,122,18910
915,1851-03-23,111,18796
916,1851-03-24,113,19663
917,1851-03-25,111,18980
918,1851-03-26,96,18107
919,1851-03-27,94,17957
920,1851-03-28,111,17963
921,1851-03-29,100,18367
922,1851-03-30,116,18812
923,1851-03-31,78,19049
924,1851-04-01,107,19356
925,1851-04-02,113,18873
926,1851-04-03,88,19065
927,1851-04-04,97,18676
928,1851-04-05,102,19261
929,1851-04-06,90,18824
930,1851-04-07,101,19397
931,1851-04-08,93,18849
932,1851-04-09,130,20228
933,1851-04-10,205,30118
934,1851-04-11,86,18023
935,1851-04-12,77,18851
936,1851-04-13,90,18128
937,1851-04-14,112,19413
938,1851-04-15,115,18109
939,1851-04-16,89,19063
940,1851-04-17,96,20228
941,1851-04-18,112,19340
942,1851-04-19,116,19828
943,1851-04-20,86,18558
944,1851-04-21,79,18685
945,1851-04-23,92,19340
946,1851-04-24,91,18554
947,1851-04-25,130,20867
948,1851-04-26,88,20364
949,1851-04-27,118,20759
950,1851-04-28,84,21743
951,1851-04-29,103,18015
952,1851-04-30,115,20699
953,1851-05-01,89,19045
954,1851-05-02,89,19756
955,1851-05-03,111,19339
956,1851-05-04,105,17155
957,1851-05-05,102,20464
958,1851-05-06,89,20046
959,1851-05-07,111,20354
960,1851-05-08,124,19793
961,1851-05-09,126,20201
962,1851-05-10,110,19768
963,1851-05-11,92,17443
964,1851-05-12,94,18889
965,1851-05-13,74,18933
966,1851-05-14,106,19517
967,1851-05-15,114,20060
968,1851-05-16,112,20031
969,1851-05-17,110,19396
970,1851-05-18,95,19009
971,1851-05-19,106,19531
972,1851-05-20,120,20010
973,1851-05-21,119,20769
974,1851-05-22,98,20274
975,1851-05-23,129,20053
976,1851-05-24,200,20054
977,1851-05-25,123,18865
978,1851-05-26,90,20518
979,1851-05-27,105,21085
980,1851-05-28,180,30494
981,1851-05-29,125,18169
982,1851-05-30,195,28509
983,1851-06-01,140,19144
984,1851-06-02,131,20875
985,1851-06-03,142,20651
986,1851-06-04,164,19958
987,1851-06-05,118,18138
988,1851-06-06,127,20167
989,1851-06-07,177,20101
990,1851-06-08,101,17658
991,1851-06-09,94,19942
992,1851-06-11,130,19402
993,1851-06-12,79,20806
994,1851-06-13,116,19783
995,1851-06-14,125,20136
996,1851-06-15,136,20467
997,1851-06-16,103,20648
